Field ID,UTYPE,UCD,Description,FITS,CSV,DataType,ArraySize,Unit,SsapUnit,Hint,Default
,,,,,,,,,,,
,Query,,Query Metadata,,,,,,,Q,
Score,Query.Score,,Degree of match to query parameters,,,float,,,,Q,
Token,Query.Token,,Continuation token for large queries,,,char,*,,,Qp,
,,,,,,,,,,,
,Association,,Association Metadata,,,,,,,Q,
AssocType,Association.Type,,Type of association,,,char,*,,,Qp,
AssocID,Association.ID,,Association identifier,,,char,*,,,Q,
AssocKey,Association.Key,,Key used to distinguish association elements,,,char,*,,,Q,
,,,,,,,,,,,
,Access,,Access Metadata,,,,,,,Q,
AcRef,Access.Reference,meta.ref.url,URL used to access dataset,,,char,*,,,Q,
Format,Access.Format,,Content or MIME type of dataset,,,char,*,,,Q,
DatasetSize,Access.Size,,Estimated dataset size,,,long,,,kilobytes,Q,
,,,,,,,,,,,
,Protocol,,Protocol Metadata,,,,,,,h,
XmlnsSsap,ssa,,XML name space for SSA protocol,,,,,,,Qhp,http:www.ivoa.net/xml/DalSsap/v1.0
XmlnsSpec,spec,,XML name space for Spectrum data model,,,,,,,hp,http:www.ivoa.net/xml/SpectrumModel/v1.0
,,,,,,,,,,,
,Spectrum,,General Dataset Metadata,,,,,,,,
DataModel,Spectrum.DataModel,,Datamodel name and version,VOCLASS,,char,*,,,qp,Spectrum-1.0
DatasetType,Spectrum.Type,,Dataset or segment type,VOSEGT,,char,*,,,qp,Spectrum
DataLength,Spectrum.Length,meta.number,Number of points,SIZE,,long,,,,q,
TimeSI,Spectrum.TimeSI,,SI factor and dimensions,TIMESDIM,,char,*,,,q,
SpectralSI,Spectrum.SpectralSI,,SI factor and dimensions,SPECSDIM,,char,*,,,q,
FluxSI,Spectrum.FluxSI,,SI factor and dimensions,FLUXSDIM,,char,*,,,q,
SpectralAxis,Spectrum.SpectralAxis,,Table column containing spectral coord,,,char,*,,,q,
FluxAxis,Spectrum.FluxAxis,,Table column containing flux values,,,char,*,,,q,

,DataID,,Dataset Identification Metadata,,,,,,,,
Title,Spectrum.DataID.Title,meta.title;meta.dataset,Dataset Title,TITLE,,char,*,,,q,
Creator,Spectrum.DataID.Creator,,Dataset creator,AUTHOR,,char,*,,,q,,,,,
Collection,Spectrum.DataID.Collection,,Data collection to which dataset belongs,COLLECT,,char,*,,,q,,,,,
DatasetID,Spectrum.DataID.DatasetID,meta.id;meta.dataset,IVOA Dataset ID,DS_IDENT,,char,*,,,q,,,,,
CreatorDID,Spectrum.DataID.CreatorDID,meta.id,Creator's ID for the dataset,CR_IDENT,,char,*,,,q,,,,,
CreatorDate,Spectrum.DataID.Date,time;meta.dataset,Data processing/creation date,DATE,,char,*,,,q,,,,,
CreatorVersion,Spectrum.DataID.Version,meta.version;meta.dataset,Version of dataset,VERSION,,char,*,,,q,,,,,
Instrument,Spectrum.DataID.Instrument,meta.id;instr,Instrument name,INSTRUME,,char,*,,,q,,,,,
Bandpass,Spectrum.DataID.Bandpass,instr.bandpass,Band as in RSM Coverage.Spectral,SPECBAND,,char,*,,,q,,,,,
DataSource,Spectrum.DataID.DataSource,,Original source of the data,DSSOURCE,,char,*,,,q,,,,,
CreationType,Spectrum.DataID.CreationType,,Dataset creation type,CRETYPE,,char,*,,,q,,,,,
CreatorLogo,Spectrum.DataID.Logo,meta.ref.url,URL for creator logo,VOLOGO,,char,*,,,,,,,,
Contributor,Spectrum.DataID.Contributor,,Contributor,CONTRIB,,char,*,,,,,,,,

,Curation,,Curation Metadata,,,,,,,,,,,,
Publisher,Spectrum.Curation.Publisher,meta.curation,Dataset publisher,VOPUB,,char,*,,,q,,,,,
PublisherID,Spectrum.Curation.PublisherID,meta.ref.url;meta.curation,URI for VO Publisher,VOPUBID,,char,*,,,,,,,,
PublisherDID,Spectrum.Curation.PublisherDID,meta.ref.url;meta.curation,Publisher's ID for the dataset ID,DS_IDPUB,,char,*,,,q,,,,,
PublisherDate,Spectrum.Curation.Date,,Date curated dataset last modified,VODATE,,char,*,,,q,,,,,
PublisherVersion,Spectrum.Curation.Version,meta.version;meta.curation,Publisher's version of the dataset,VOVER,,char,*,,,q,,,,,
Rights,Spectrum.Curation.Rights,,Restrictions on data access,VORIGHTS,,char,*,,,q,,,,,
Reference,Spectrum.Curation.Reference,meta.bib.bibcode,URL or Bibcode for documentation,VOREF,,char,*,,,q,,,,,
ContactName,Spectrum.Curation.Contact.Name,meta.bib.author;meta.curation,Contact name,CONTACT,,char,*,,,,,,,,
ContactEmail,Spectrum.Curation.Contact.Email,meta.ref.url;meta.email,Contact email,EMAIL,,char,*,,,,,,,,

,Target,,Target Metadata,,,,,,,,,,,,
TargetName,Spectrum.Target.Name,meta.id;src,Target name,OBJECT,,char,*,,,q,,,,,
TargetDescription,Spectrum.Target.Description,meta.note;src,Target description,OBJDESC,,char,*,,,,,,,,
TargetClass,Spectrum.Target.Class,src.class,Object class of observed target,SRCCLASS,,char,*,,,q,,,,,
TargetPos,Spectrum.Target.Pos,pos.eq;src,Target RA and Dec,RA_TARG DEC_TARG,,double,2,deg,deg,,,,,,
SpectralClass,Spectrum.Target.SpectralClass,src.spType,Object spectral class,SPECTYPE,,char,*,,,,,,,,
Redshift,Spectrum.Target.Redshift,src.redshift,Target redshift,REDSHIFT,,double,,,,q,,,,,
VarAmpl,Spectrum.Target.VarAmpl,src.var.amplitude,Target variability amplitude (typical),TARGVAR,,float,,,,q,,,,,

,Derived,,Derived Metadata,,,,,,,,,,,,
DerivedSNR,Spectrum.Derived.SNR,stat.snr,Signal-to-noise for spectrum,DER_SNR,,float,,,,q,,,,,
DerivedRedshift,Spectrum.Derived.Redshift.Value,,Measured redshift for spectrum,DER_Z,,double,,,,,,,,,
RedshiftStatError,Spectrum.Derived.Redshift.StatError,stat.error;src.redshift,Error on measured redshift,DER_ZERR,,float,,,,,,,,,
RedshiftConfidence,Spectrum.Derived.Redshift.Confidence,,Confidence value on redshift,DER_CONF,,float,,,,,,,,,
DerivedVarAmpl,Spectrum.Derived.VarAmpl,src.var.amplitude;arith.ratio,Variability amplitude as fraction of mean,DER_VAR,,float,,,,,,,,,

,CoordSys,,Coordinate System Metadata,,,,,,,,,,,,
CoordSysID,Spectrum.CoordSys.ID,,ID string for coordinate system,VOCSID,,char,*,,,,,,,,
SpaceFrameName,Spectrum.CoordSys.SpaceFrame.Name,,Spatial coordinate frame name,RADECSYS,,char,*,,,qp,,,,,
SpaceFrameUcd,Spectrum.CoordSys.SpaceFrame.Ucd,,Space frame UCD,,,char,*,,,,,,,,
SpaceFrameRefPos,Spectrum.CoordSys.SpaceFrame.RefPos,,Origin of SpaceFrame,,,char,*,,,,,,,,
SpaceFrameEquinox,Spectrum.CoordSys.SpaceFrame.Equinox,time.equinox;pos.frame,Equinox,EQUINOX,,double,,y,y,qp,,,,,
TimeFrameName,Spectrum.CoordSys.TimeFrame.Name,time.scale,Timescale,TIMESYS,,char,*,,,qp,,,,,
TimeFrameUcd,Spectrum.CoordSys.TimeFrame.Ucd,,Time frame UCD,,,char,*,,,,,,,,
TimeFrameZero,Spectrum.CoordSys.TimeFrame.Zero,time;arith.zp,Zero point of timescale in MJD,MJDREF,,double,,d,,
TimeFrameRefPos,Spectrum.CoordSys.TimeFrame.RefPos,time.scale,Location for times of photon arrival,,,char,*,,,
SpectralFrameName,Spectrum.CoordSys.SpectralFrame.Name,,Spectral frame name,,,char,*,,,
SpectralFrameUcd,Spectrum.CoordSys.SpectralFrame.Ucd,,Spectral frame UCD,,,char,*,,,
SpectralFrameRefPos,Spectrum.CoordSys.SpectralFrame.RefPos,,Spectral frame origin,SPECSYS,,char,*,,,
SpectralFrameRedshift,Spectrum.CoordSys.SpectralFrame.Redshift,,Redshift value used if restframe corrected,,,double,,,,
RedshiftFrameName,Spectrum.CoordSys.RedshiftFrame.Name,,Redshift frame name,,,char,*,,,
DopplerDefinition,Spectrum.CoordSys.RedshiftFrame.DopplerDefinition,,Type of redshift,,,char,*,,,
RedshiftFrameRefPos,Spectrum.CoordSys.RedshiftFrame.RefPos,,Redshift frame origin,,,char,*,,,

,Char.SpatialAxis,,Spatial Axis Characterization,,,,,,,
SpatialAxisName,Spectrum.Char.SpatialAxis.Name,,Name for spatial axis,,,char,*,,,
SpatialAxisUcd,Spectrum.Char.SpatialAxis.Ucd,,UCD for spatial coord,SKY_UCD,,char,*,,,
SpatialAxisUnit,Spectrum.Char.SpatialAxis.Unit,,Unit for spatial coord,,,char,*,,deg,
SpatialLocation,Spectrum.Char.SpatialAxis.Coverage.Location.Value,pos.eq,Spatial Position,RA DEC,,double,2,deg,deg,q
SpatialExtent,Spectrum.Char.SpatialAxis.Coverage.Bounds.Extent,instr.fov,Aperture angular size,APERTURE,,double,,deg,deg,q
SpatialArea,Spectrum.Char.SpatialAxis.Coverage.Support.Area,,Aperture region,REGION,,char,*,deg,deg,q
SpatialSupportExtent,Spectrum.Char.SpatialAxis.Coverage.Support.Extent,instr.fov,Field of view area,AREA,,double,,sqdeg,sqdeg,q
SpatialSampleExtent,Spectrum.Char.SpatialAxis.SamplingPrecision.SampleExtent,instr.pixel,Spatial bin size,,,float,,,,q
SpatialFillFactor,Spectrum.Char.SpatialAxis.SamplingPrecision.SamplingPrecisionRefVal.FillFactor,stat.fill;pos.eq,Spatial sampling filling factor,SKY_FILL,,float,,deg,deg,q
SpatialStatError,Spectrum.Char.SpatialAxis.Accuracy.StatError,stat.error;pos.eq,Astrometric statistical error,SKY_ERR,,double,,deg,deg,q
SpatialSysError,Spectrum.Char.SpatialAxis.Accuracy.SysError,stat.error.sys;pos.eq,Astrometric systematic error,SKY_SYE,,double,,deg,deg,q
SpatialCalibration,Spectrum.Char.SpatialAxis.Calibration,meta.code.qual,Type of spatial coord calibration,SKY_CAL,,char,*,,,q
SpatialResolution,Spectrum.Char.SpatialAxis.Resolution,pos.angResolution,Spatial resolution of data,SKY_RES,,double,,deg,deg,q
,,,,,,,,,,
,Char.SpectralAxis,,Spectral Axis Characterization,,,,,,,
SpectralAxisName,Spectrum.Char.SpectralAxis.Name,,Name for spectral axis,,,char,*,,,
SpectralAxisUcd,Spectrum.Char.SpectralAxis.Ucd,,UCD for spectral coord,,,char,*,,,q
SpectralAxisUnit,Spectrum.Char.SpectralAxis.Unit,,Unit for spectral coord,,,char,*,,m,
SpectralLocation,Spectrum.Char.SpectralAxis.Coverage.Location.Value,instr.bandpass,Spectral coord value,SPEC_VAL,,double,,,m,q
SpectralExtent,Spectrum.Char.SpectralAxis.Coverage.Bounds.Extent,instr.bandwidth,Width of spectrum,SPEC_BW,,double,,,m,q
SpectralStart,Spectrum.Char.SpectralAxis.Coverage.Bounds.Start,em;stat.min,Start in spectral coordinate,TDMIN,,double,,,m,q
SpectralStop,Spectrum.Char.SpectralAxis.Coverage.Bounds.Stop,em;stat.max,Stop in spectral coordinate,TDMAX,,double,,,m,q
SpectralSupportExtent,Spectrum.Char.SpectralAxis.Coverage.Support.Extent,instr.bandwidth,Effective width of spectrum,,,double,,,m,q
SpectralSampleExtent,Spectrum.Char.SpectralAxis.SamplingPrecision.SampleExtent,em;spect.binSize,Wavelength bin size,,,double,,,m,q
SpectralFillFactor,Spectrum.Char.SpectralAxis.SamplingPrecision.SamplingPrecisionRefVal.FillFactor,stat.fill;em,Spectral sampling filling factor,SPEC_FIL,,float,,,,q
SpectralBinSize,Spectrum.Char.SpectralAxis.Accuracy.BinSize,em;spec.binSize,Spectral coord bin size,SPEC_BIN,,double,,,m,q
SpectralStatError,Spectrum.Char.SpectralAxis.Accuracy.StatError,stat.error;em,Spectral coord statistical error,SPEC_ERR,,double,,,m,q
SpectralSysError,Spectrum.Char.SpectralAxis.Accuracy.SysError,stat.error.sys;em,Spectral coord systematic error,SPEC_SYE,,double,,,m,q
SpectralCalibration,Spectrum.Char.SpectralAxis.Calibration,meta.code.qual,Type of spectral coord calibration,SPEC_CAL,,char,*,,m,q
SpectralResolution,Spectrum.Char.SpectralAxis.Resolution,spect.resolution;em,Spectral resolution FWHM,SPEC_RES,,double,,,m,q
SpectralResPower,Spectrum.Char.SpectralAxis.ResPower,spect.resolution,Spectral resolving power,SPEC_RP,,float,,,,q
,,,,,,,,,,
,Char.TimeAxis,,Time Axis Characterization,,,,,,,
TimeAxisName,Spectrum.Char.TimeAxis.Name,,Name for time axis,,,char,*,,,
TimeAxisUcd,Spectrum.Char.TimeAxis.Ucd,,UCD for time,,,char,*,,,
TimeAxisUnit,Spectrum.Char.TimeAxis.Unit,,Unit for time,TIMEUNIT,,char,*,,s,
TimeLocation,Spectrum.Char.TimeAxis.Coverage.Location.Value,time.epoch,Midpoint of exposure on MJD scale,DATE-OBS,,double,,d,d,q
TimeExtent,Spectrum.Char.TimeAxis.Coverage.Bounds.Extent,time.duration,Total exposure time,TELAPSE,,double,,,s,q
TimeStart,Spectrum.Char.TimeAxis.Coverage.Bounds.Start,time.start;obs.exposure,Start time,TSTART,,double,,,d,q
TimeStop,Spectrum.Char.TimeAxis.Coverage.Bounds.Stop,time.stop;obs.exposure,Stop time,TSTOP,,double,,,d,q
TimeSupportExtent,Spectrum.Char.TimeAxis.Coverage.Support.Extent,time.duration;obs.exposure,Effective exposure time,EXPOSURE,,double,,,s,q
TimeSampleExtent,Spectrum.Char.TimeAxis.SamplingPrecision.SampleExtent,time.interval,Time bin size,,,double,,,s,q
TimeFillFactor,Spectrum.Char.TimeAxis.SamplingPrecision.SamplingPrecisionRefVal.FillFactor,time;stat.fill;time,Time sampling filling factor,DTCOR,,float,,,,q
TimeBinSize,Spectrum.Char.TimeAxis.Accuracy.BinSize,time.interval,Time bin size,TIMEDEL,,double,,,s,
TimeStatError,Spectrum.Char.TimeAxis.Accuracy.StatError,stat.error;time,Time coord statistical error,TIME_ERR,,double,,,s,q
TimeSysError,Spectrum.Char.TimeAxis.Accuracy.SysError,stat.error.sys;time,Time coord systematic error,TME_SYE,,double,,,s,q
TimeCalibration,Spectrum.Char.TimeAxis.Calibration,meta.code.qual,Type of coord calibration,TIME_CAL,,char,*,,,q
TimeResolution,Spectrum.Char.TimeAxis.Resolution,time.resolution,,TIME_RES,,double,,,s,q
,,,,,,,,,,
,Char.FluxAxis,,Flux Axis Characterization,,,,,,,
FluxAxisName,Spectrum.Char.FluxAxis.Name,,Name for flux,,,char,*,,,
FluxAxisUcd,Spectrum.Char.FluxAxis.Ucd,,UCD for flux,,,char,*,,,q
FluxAxisUnit,Spectrum.Char.FluxAxis.Unit,,Unit for flux,,,char,*,,,
FluxStatError,Spectrum.Char.FluxAxis.Accuracy.StatError,stat.error;phot.flux.density;em,Flux statistical error,STAT_ERR,,double,,,,q
FluxSysError,Spectrum.Char.FluxAxis.Accuracy.SysError,stat.error.sys;phot.flux.density;em,Flux systematic error,SYS_ERR,,double,,,,q
FluxCalibration,Spectrum.Char.FluxAxis.Calibration,,Type of flux calibration,FLUX_CAL,,char,*,,,q
,,,,,,,,,,
,Data.SpectralAxis,,Spectral Axis Data,,,,,,,
DataSpectralValue,Spectrum.Data.SpectralAxis.Value,,Spectral coordinates for points,WAVE ENER FREQ,1;@ID,double,,,,
DataSpectralUcd,Spectrum.Data.SpectralAxis.Ucd,,UCD for spectral coord,,,char,*,,,p
DataSpectralUnit,Spectrum.Data.SpectralAxis.Unit,,Unit for spectral coord,,,char,*,,,p
DataSpectralBinSize,Spectrum.Data.SpectralAxis.Accuracy.BinSize,em;spect.binSize,Spectral coord bin size,WAVE_BIN ENER_BIN FREQ_BIN,,double,,,,
DataSpectralBinLow,Spectrum.Data.SpectralAxis.Accuracy.BinLow,em;stat.min,Spectral coord bin lower end,WAVE_LO ENER_LO FREQ_LO,,double,,,,
DataSpectralBinHigh,Spectrum.Data.SpectralAxis.Accuracy.BinHigh,em;stat.max,Spectral coord bin upper end,WAVE_HI ENER_HI FREQ_HI,,double,,,,
DataSpectralStatError,Spectrum.Data.SpectralAxis.Accuracy.StatError,em;stat.error,Spectral coord measurement error,WAVE_ERR ENER_ERR FREQ_ERR,3;@ID,double,,,,
DataSpectralStatErrLow,Spectrum.Data.SpectralAxis.Accuracy.StatErrLow,em;stat.error;stat.min,Spectral coord measurement lower error,WAVE_ELO ENER_ELO FREQ_ELO,,double,,,,
DataSpectralStatErrHigh,Spectrum.Data.SpectralAxis.Accuracy.StatErrHigh,em;stat.error;stat.max,Spectral coord measurement upper error,WAVE_EHI ENER_EHI FREQ_EHI,,double,,,,
DataSpectralSysError,Spectrum.Data.SpectralAxis.Accuracy.SysError,em;stat.error,Spectral coord systematic error,WAVE_SYE ENER_SYE FREQ_SYE,,double,,,,
DataSpectralResolution,Spectrum.Data.SpectralAxis.Resolution,spect.resolution,Spectral resolution FWHM,WAVE_RES ENER_RES FREQ_RES,,double,,,,

,Data.FluxAxis,,Flux Axis Data,,,,,,,
DataFluxValue,Spectrum.Data.FluxAxis.Value,,Flux values for points,FLUX,2;@ID,double,,,,
DataFluxUcd,Spectrum.Data.FluxAxis.Ucd,,UCD for flux,,,char,*,,,p
DataFluxUnit,Spectrum.Data.FluxAxis.Unit,,Unit for flux,,,char,*,,,p
DataFluxStatError,Spectrum.Data.FluxAxis.Accuracy.StatError,phot.flux.density;em;stat.error,Flux symmetric statistical error,ERR,,double,,,,
DataFluxStatErrLow,Spectrum.Data.FluxAxis.Accuracy.StatErrLow,phot.flux.density;em;stat.error;stat.min,Flux lower error,ERR_LO,,double,,,,
DataFluxStatErrHigh,Spectrum.Data.FluxAxis.Accuracy.StatErrHigh,phot.flux.density;em;stat.error;stat.max,Flux upper error,ERR_HI,,double,,,,
DataFluxSysError,Spectrum.Data.FluxAxis.Accuracy.SysError,phot.flux.density;em;stat.error.sys,Flux systematic error,SYS_ERR,,double,,,,
DataFluxQuality,Spectrum.Data.FluxAxis.Quality,meta.code.qual;phot.flux.density;em,Flux measurement quality mask,QUALITY,4;@ID,long,,,,
DataFluxQualityDesc,Spectrum.Data.FluxAxis.Quality.n,,Meaning of quality value,,,char,*,,,p

,Data.TimeAxis,,Time Axis Data,,,,,,,
DataTimeValue,Spectrum.Data.TimeAxis.Value,,Time coordinates for points,TIME,,double,,,,
DataTimeUcd,Spectrum.Data.TimeAxis.Ucd,,UCD for time,,,char,*,,,p
DataTimeUnit,Spectrum.Data.TimeAxis.Unit,,Unit for time,,,char,*,,,p
DataTimeBinSize,Spectrum.Data.TimeAxis.Accuracy.BinSize,time.interval,Time bin size,,,double,,,,
DataTimeBinLow,Spectrum.Data.TimeAxis.Accuracy.BinLow,time;stat.min,Time bin start,TIME_LO,,double,,,,
DataTimeBinHigh,Spectrum.Data.TimeAxis.Accuracy.BinHigh,time;stat.max,Time bin stop,TIME_HI,,double,,,,
DataTimeStatError,Spectrum.Data.TimeAxis.Accuracy.StatError,time;stat.error,Time coord measurement statistical error,TIME_ERR,,double,,,,
DataTimeStatErrLow,Spectrum.Data.TimeAxis.Accuracy.StatErrLow,time;stat.error;stat.min,Time coord measurement lower error,TIME_ELO,,double,,,,
DataTimeStatErrHigh,Spectrum.Data.TimeAxis.Accuracy.StatErrHigh,time;stat.error;stat.max,Time coord measurement upper error,TIME_EHI,,double,,,,
DataTimeSysError,Spectrum.Data.TimeAxis.Accuracy.SysError,time;stat.error.sys,Time coord measurement systematic error,TIME_SYE,,double,,,,
DataTimeResolution,Spectrum.Data.TimeAxis.Resolution,time.resolution,Temporal resolution FWHM,TIME_RES,,double,,,,

,Data.BackgroundModel,,Background Model Data,,,,,,,
DataBkgModelValue,Spectrum.Data.BackgroundModel.Value,,Flux values for points,BGFLUX,,double,,,,
DataBkgModelUcd,Spectrum.Data.BackgroundModel.Ucd,,UCD for background flux,,,char,*,,,p
DataBkgModelUnit,Spectrum.Data.BackgroundModel.Unit,,Unit for background flux,,,char,*,,,p
DataBkgModelStatError,Spectrum.Data.BackgroundModel.Accuracy.StatError,phot.flux.density;em;stat.error,Background model symmetric error,,,double,,,,
DataBkgModelStatErrLow,Spectrum.Data.BackgroundModel.Accuracy.StatErrLow,phot.flux.density;em;stat.error;stat.min,Background model lower error,BG_ELO,,double,,,,
DataBkgModelStatErrHigh,Spectrum.Data.BackgroundModel.Accuracy.StatErrHigh,phot.flux.density;em;stat.error;stat.max,Background model upper error,BG_EHI,,double,,,,
DataBkgModelSysError,Spectrum.Data.BackgroundModel.Accuracy.SysError,phot.flux.density;em;stat.error.sys,Background model systematic error,BG_SYE,,double
DataBkgModelQuality,Spectrum.Data.BackgroundModel.Quality,meta.code.qual;phot.flux.density;em,Background model quality mask,BGQUAL,,long
